Source,Factor,Trait,Trait_Code,F,p_raw,eta2,n_groups,n_total,p_adj_bh,sig_bh
Human,Gender,Extroversion,E,47.304,0.0,0.0048,3,19612,0.0,True
Human,Gender,Agreeableness,A,475.052,0.0,0.0462,3,19612,0.0,True
Human,Gender,Conscientiousness,C,12.045,0.0,0.0012,3,19612,0.0,True
Human,Gender,Emotional Stability,N,287.232,0.0,0.0285,3,19612,0.0,True
Human,Gender,Openness,O,109.051,0.0,0.011,3,19612,0.0,True
Human,Age_Group,Extroversion,E,50.44,0.0,0.0102,5,19612,0.0,True
Human,Age_Group,Agreeableness,A,134.647,0.0,0.0267,5,19612,0.0,True
Human,Age_Group,Conscientiousness,C,263.344,0.0,0.051,5,19612,0.0,True
Human,Age_Group,Emotional Stability,N,133.232,0.0,0.0265,5,19612,0.0,True
Human,Age_Group,Openness,O,43.407,0.0,0.0088,5,19612,0.0,True
Human,Race,Extroversion,E,6.015,0.0,0.0031,11,19426,0.0,True
Human,Race,Agreeableness,A,6.641,0.0,0.0034,11,19426,0.0,True
Human,Race,Conscientiousness,C,6.652,0.0,0.0034,11,19426,0.0,True
Human,Race,Emotional Stability,N,10.53,0.0,0.0054,11,19426,0.0,True
Human,Race,Openness,O,105.894,0.0,0.0517,11,19426,0.0,True
Human,Country,Extroversion,E,5.42,0.0,0.0094,32,17752,0.0,True
Human,Country,Agreeableness,A,9.766,0.0,0.0168,32,17752,0.0,True
Human,Country,Conscientiousness,C,9.006,0.0,0.0155,32,17752,0.0,True
Human,Country,Emotional Stability,N,8.966,0.0,0.0154,32,17752,0.0,True
Human,Country,Openness,O,19.887,0.0,0.0336,32,17752,0.0,True
GPT_Explicit,Gender,Extroversion,E,8.339,0.0002,0.0008,3,19720,0.0002,True
GPT_Explicit,Gender,Agreeableness,A,765.23,0.0,0.072,3,19720,0.0,True
GPT_Explicit,Gender,Conscientiousness,C,231.37,0.0,0.0229,3,19720,0.0,True
GPT_Explicit,Gender,Emotional Stability,N,384.326,0.0,0.0375,3,19720,0.0,True
GPT_Explicit,Gender,Openness,O,261.203,0.0,0.0258,3,19720,0.0,True
GPT_Explicit,Age_Group,Extroversion,E,830.199,0.0,0.1442,5,19720,0.0,True
GPT_Explicit,Age_Group,Agreeableness,A,148.901,0.0,0.0293,5,19720,0.0,True
GPT_Explicit,Age_Group,Conscientiousness,C,4518.653,0.0,0.4783,5,19720,0.0,True
GPT_Explicit,Age_Group,Emotional Stability,N,2411.481,0.0,0.3285,5,19720,0.0,True
GPT_Explicit,Age_Group,Openness,O,1588.086,0.0,0.2437,5,19720,0.0,True
GPT_Explicit,Race,Extroversion,E,223.672,0.0,0.1021,11,19687,0.0,True
GPT_Explicit,Race,Agreeableness,A,80.534,0.0,0.0393,11,19687,0.0,True
GPT_Explicit,Race,Conscientiousness,C,29.516,0.0,0.0148,11,19687,0.0,True
GPT_Explicit,Race,Emotional Stability,N,102.329,0.0,0.0494,11,19687,0.0,True
GPT_Explicit,Race,Openness,O,28.021,0.0,0.014,11,19687,0.0,True
GPT_Explicit,Country,Extroversion,E,24.459,0.0,0.0423,34,18296,0.0,True
GPT_Explicit,Country,Agreeableness,A,22.973,0.0,0.0399,34,18296,0.0,True
GPT_Explicit,Country,Conscientiousness,C,29.249,0.0,0.0502,34,18296,0.0,True
GPT_Explicit,Country,Emotional Stability,N,38.072,0.0,0.0644,34,18296,0.0,True
GPT_Explicit,Country,Openness,O,28.209,0.0,0.0485,34,18296,0.0,True
GPT_NLP,Gender,Extroversion,E,23.856,0.0,0.0024,3,19720,0.0,True
GPT_NLP,Gender,Agreeableness,A,1414.427,0.0,0.1255,3,19720,0.0,True
GPT_NLP,Gender,Conscientiousness,C,350.605,0.0,0.0343,3,19720,0.0,True
GPT_NLP,Gender,Emotional Stability,N,155.788,0.0,0.0156,3,19720,0.0,True
GPT_NLP,Gender,Openness,O,1842.583,0.0,0.1575,3,19720,0.0,True
GPT_NLP,Age_Group,Extroversion,E,632.094,0.0,0.1137,5,19720,0.0,True
GPT_NLP,Age_Group,Agreeableness,A,841.836,0.0,0.1459,5,19720,0.0,True
GPT_NLP,Age_Group,Conscientiousness,C,3535.386,0.0,0.4177,5,19720,0.0,True
GPT_NLP,Age_Group,Emotional Stability,N,1854.133,0.0,0.2734,5,19720,0.0,True
GPT_NLP,Age_Group,Openness,O,251.385,0.0,0.0485,5,19720,0.0,True
GPT_NLP,Race,Extroversion,E,207.227,0.0,0.0953,11,19687,0.0,True
GPT_NLP,Race,Agreeableness,A,100.721,0.0,0.0487,11,19687,0.0,True
GPT_NLP,Race,Conscientiousness,C,30.623,0.0,0.0153,11,19687,0.0,True
GPT_NLP,Race,Emotional Stability,N,320.968,0.0,0.1402,11,19687,0.0,True
GPT_NLP,Race,Openness,O,274.36,0.0,0.1224,11,19687,0.0,True
GPT_NLP,Country,Extroversion,E,70.194,0.0,0.1126,34,18296,0.0,True
GPT_NLP,Country,Agreeableness,A,30.222,0.0,0.0518,34,18296,0.0,True
GPT_NLP,Country,Conscientiousness,C,35.027,0.0,0.0595,34,18296,0.0,True
GPT_NLP,Country,Emotional Stability,N,77.971,0.0,0.1235,34,18296,0.0,True
GPT_NLP,Country,Openness,O,41.932,0.0,0.0704,34,18296,0.0,True
