Country,Race,Age,Age_Group,Gender,Ordering,E_Trait_mean,E_Trait_std,E_Trait_count,A_Trait_mean,A_Trait_std,A_Trait_count,C_Trait_mean,C_Trait_std,C_Trait_count,N_Trait_mean,N_Trait_std,N_Trait_count,O_Trait_mean,O_Trait_std,O_Trait_count
All,All,All,All,All,Age -> Gender -> Nationality,2.976,0.194,1000,4.115,0.086,1000,3.431,0.176,1000,3.247,0.106,1000,3.712,0.093,1000
All,All,All,All,All,Gender -> Age -> Nationality,2.99,0.202,1000,4.128,0.082,1000,3.461,0.182,1000,3.273,0.122,1000,3.721,0.096,1000
All,All,All,All,All,Nationality -> Age -> Gender,2.998,0.212,1000,4.13,0.076,1000,3.48,0.162,1000,3.286,0.097,1000,3.734,0.089,1000
Albania,All,All,All,All,Age -> Gender -> Nationality,2.7,,1,4.2,,1,3.7,,1,3.2,,1,3.6,,1
Albania,All,All,All,All,Gender -> Age -> Nationality,2.9,,1,4.2,,1,3.6,,1,3.4,,1,3.7,,1
Albania,All,All,All,All,Nationality -> Age -> Gender,2.9,,1,4.2,,1,3.7,,1,3.3,,1,3.7,,1
Argentina,All,All,All,All,Age -> Gender -> Nationality,2.9,,1,4.2,,1,3.3,,1,3.1,,1,3.8,,1
Argentina,All,All,All,All,Gender -> Age -> Nationality,3.1,,1,4.2,,1,3.4,,1,3.2,,1,3.8,,1
Argentina,All,All,All,All,Nationality -> Age -> Gender,3.2,,1,4.1,,1,3.3,,1,3.3,,1,3.8,,1
Australia,All,All,All,All,Age -> Gender -> Nationality,2.962,0.168,48,4.14,0.076,48,3.404,0.189,48,3.262,0.128,48,3.702,0.1,48
Australia,All,All,All,All,Gender -> Age -> Nationality,2.91,0.189,48,4.148,0.077,48,3.44,0.193,48,3.254,0.132,48,3.725,0.096,48
Australia,All,All,All,All,Nationality -> Age -> Gender,2.885,0.246,48,4.121,0.071,48,3.423,0.175,48,3.294,0.116,48,3.717,0.075,48
Austria,All,All,All,All,Age -> Gender -> Nationality,3.0,,1,4.2,,1,3.4,,1,3.3,,1,3.7,,1
Austria,All,All,All,All,Gender -> Age -> Nationality,3.2,,1,4.2,,1,3.4,,1,3.3,,1,3.8,,1
Austria,All,All,All,All,Nationality -> Age -> Gender,3.3,,1,4.2,,1,3.6,,1,3.5,,1,3.7,,1
Azerbaijan,All,All,All,All,Age -> Gender -> Nationality,3.2,,1,4.1,,1,3.5,,1,3.3,,1,3.8,,1
Azerbaijan,All,All,All,All,Gender -> Age -> Nationality,3.1,,1,4.1,,1,3.4,,1,3.3,,1,3.8,,1
Azerbaijan,All,All,All,All,Nationality -> Age -> Gender,3.3,,1,4.1,,1,3.6,,1,3.5,,1,3.7,,1
Bangladesh,All,All,All,All,Age -> Gender -> Nationality,2.933,0.058,3,4.067,0.058,3,3.467,0.058,3,3.2,0.1,3,3.667,0.115,3
Bangladesh,All,All,All,All,Gender -> Age -> Nationality,2.867,0.306,3,4.067,0.115,3,3.467,0.153,3,3.3,0.0,3,3.7,0.1,3
