Profile,Trait,Human_Mean,AI_Mean,Difference,Cohens_D,Human_N,AI_N
Country: New Zealand | Race: Caucasian (European) | Age: 18 | Age_Group: 18-25,Neuroticism,2.38,3.23,0.85,5.009,5,6
Country: New Zealand | Race: Caucasian (European) | Age: 18,Neuroticism,2.38,3.23,0.85,5.009,5,6
Country: Malaysia | Race: South East Asian | Age: 18 | Age_Group: 18-25 | Gender: Female,Openness,2.94,3.72,0.78,4.761,5,6
Country: Malaysia | Race: South East Asian | Age: 18 | Gender: Female,Openness,2.94,3.72,0.78,4.761,5,6
Country: Canada | Age: 37 | Gender: Female,Openness,4.53,3.77,-0.77,-3.898,6,6
Country: Canada | Age: 37 | Age_Group: 35-50 | Gender: Female,Openness,4.53,3.77,-0.77,-3.898,6,6
Country: Canada | Age: 37 | Gender: Female,Extroversion,4.18,2.98,-1.2,-3.5,6,6
Country: Canada | Age: 37 | Age_Group: 35-50 | Gender: Female,Extroversion,4.18,2.98,-1.2,-3.5,6,6
Country: Malaysia | Race: South East Asian | Age: 18 | Gender: Female,Neuroticism,2.68,3.22,0.54,3.462,5,6
Country: Malaysia | Race: South East Asian | Age: 18 | Age_Group: 18-25 | Gender: Female,Neuroticism,2.68,3.22,0.54,3.462,5,6
Country: Dominican Republic,Openness,4.24,3.73,-0.51,-3.204,5,6
Country: Serbia | Race: Caucasian (European) | Age_Group: 26-34 | Gender: Female,Openness,4.36,3.78,-0.58,-3.064,8,6
Country: Serbia | Age_Group: 26-34 | Gender: Female,Openness,4.36,3.78,-0.58,-3.064,8,6
Country: Malaysia | Age: 18 | Gender: Female,Neuroticism,2.6,3.22,0.62,3.051,6,6
Country: Malaysia | Age: 18 | Age_Group: 18-25 | Gender: Female,Neuroticism,2.6,3.22,0.62,3.051,6,6
Country: Puerto Rico | Gender: Male,Openness,4.38,3.77,-0.62,-2.997,6,9
Country: India | Race: Other | Age: 22 | Age_Group: 18-25 | Gender: Male,Openness,4.35,3.7,-0.65,-2.664,6,6
Country: India | Race: Other | Age: 22 | Gender: Male,Openness,4.35,3.7,-0.65,-2.664,6,6
Country: Philippines | Race: Other | Age: 21 | Age_Group: 18-25,Extroversion,2.43,2.97,0.53,2.593,6,9
Country: Philippines | Race: Other | Age: 21 | Gender: Female,Extroversion,2.43,2.97,0.53,2.593,6,9
