Sim_ID,Model,Ordering,Age,Gender,Race,Country,E1_response,E1_score,E2_response,E2_score,E3_response,E3_score,E4_response,E4_score,E5_response,E5_score,E6_response,E6_score,E7_response,E7_score,E8_response,E8_score,E9_response,E9_score,E10_response,E10_score,N1_response,N1_score,N2_response,N2_score,N3_response,N3_score,N4_response,N4_score,N5_response,N5_score,N6_response,N6_score,N7_response,N7_score,N8_response,N8_score,N9_response,N9_score,N10_response,N10_score,A1_response,A1_score,A2_response,A2_score,A3_response,A3_score,A4_response,A4_score,A5_response,A5_score,A6_response,A6_score,A7_response,A7_score,A8_response,A8_score,A9_response,A9_score,A10_response,A10_score,C1_response,C1_score,C2_response,C2_score,C3_response,C3_score,C4_response,C4_score,C5_response,C5_score,C6_response,C6_score,C7_response,C7_score,C8_response,C8_score,C9_response,C9_score,C10_response,C10_score,O1_response,O1_score,O2_response,O2_score,O3_response,O3_score,O4_response,O4_score,O5_response,O5_score,O6_response,O6_score,O7_response,O7_score,O8_response,O8_score,O9_response,O9_score,O10_response,O10_score
mistral_P0_Age_Gender_Nationality,mistral,Age -> Gender -> Nationality,20,Female,Caucasian (European),Canada,rarely,2,often,4,often,4,rarely,2,rarely,2,rarely,2,often,4,often,4,often,4,often,4,sometimes,3,often,4,rarely,2,rarely,2,rarely,2,rarely,2,often,4,rarely,2,rarely,2,sometimes,3,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,sometimes,3,often,4,sometimes,3,rarely,2,often,4,rarely,2,rarely,2,sometimes,3,often,4,rarely,2,rarely,2,often,4,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,sometimes,3,often,4,often,4
mistral_P0_Gender_Age_Nationality,mistral,Gender -> Age -> Nationality,20,Female,Caucasian (European),Canada,rarely,2,often,4,often,4,rarely,2,rarely,2,rarely,2,often,4,often,4,sometimes,3,often,4,sometimes,3,often,4,rarely,2,rarely,2,rarely,2,rarely,2,often,4,rarely,2,rarely,2,sometimes,3,rarely,2,often,4,rarely,2,often,4,rarely,2,always,5,rarely,2,often,4,sometimes,3,often,4,sometimes,3,rarely,2,often,4,rarely,2,rarely,2,sometimes,3,often,4,rarely,2,rarely,2,often,4,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,often,4
mistral_P0_Nationality_Age_Gender,mistral,Nationality -> Age -> Gender,20,Female,Caucasian (European),Canada,rarely,2,often,4,sometimes,3,rarely,2,rarely,2,rarely,2,often,4,often,4,often,4,often,4,often,4,often,4,rarely,2,rarely,2,rarely,2,rarely,2,often,4,rarely,2,rarely,2,sometimes,3,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,sometimes,3,often,4,sometimes,3,rarely,2,often,4,rarely,2,rarely,2,sometimes,3,often,4,rarely,2,rarely,2,often,4,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,often,4
mistral_P1_Age_Gender_Nationality,mistral,Age -> Gender -> Nationality,22,Male,Caucasian (Indian),India,rarely,2,often,4,often,4,rarely,2,rarely,2,rarely,2,often,4,often,4,often,4,often,4,often,4,often,4,rarely,2,rarely,2,rarely,2,rarely,2,often,4,rarely,2,rarely,2,sometimes,3,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,often,4,often,4,sometimes,3,rarely,2,often,4,rarely,2,rarely,2,sometimes,3,often,4,rarely,2,rarely,2,often,4,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,often,4
mistral_P1_Gender_Age_Nationality,mistral,Gender -> Age -> Nationality,22,Male,Caucasian (Indian),India,rarely,2,often,4,often,4,rarely,2,rarely,2,rarely,2,often,4,often,4,often,4,often,4,often,4,often,4,rarely,2,rarely,2,rarely,2,rarely,2,often,4,rarely,2,rarely,2,rarely,2,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,often,4,often,4,sometimes,3,rarely,2,often,4,rarely,2,rarely,2,sometimes,3,often,4,rarely,2,rarely,2,often,4,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,often,4
mistral_P1_Nationality_Age_Gender,mistral,Nationality -> Age -> Gender,22,Male,Caucasian (Indian),India,rarely,2,often,4,often,4,rarely,2,rarely,2,rarely,2,often,4,often,4,often,4,often,4,often,4,often,4,rarely,2,rarely,2,rarely,2,rarely,2,often,4,rarely,2,rarely,2,sometimes,3,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,often,4,often,4,sometimes,3,rarely,2,often,4,rarely,2,rarely,2,sometimes,3,often,4,rarely,2,rarely,2,often,4,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,often,4
mistral_P2_Age_Gender_Nationality,mistral,Age -> Gender -> Nationality,46,Female,Caucasian (European),United Kingdom of Great Britain and Northern Ireland,rarely,2,often,4,often,4,rarely,2,rarely,2,rarely,2,often,4,often,4,rarely,2,often,4,rarely,2,often,4,often,4,rarely,2,rarely,2,rarely,2,often,4,rarely,2,rarely,2,sometimes,3,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,often,4,often,4,often,4,rarely,2,often,4,rarely,2,rarely,2,sometimes,3,often,4,rarely,2,rarely,2,often,4,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,sometimes,3,often,4,often,4
mistral_P2_Gender_Age_Nationality,mistral,Gender -> Age -> Nationality,46,Female,Caucasian (European),United Kingdom of Great Britain and Northern Ireland,rarely,2,often,4,often,4,rarely,2,rarely,2,rarely,2,often,4,often,4,rarely,2,often,4,rarely,2,often,4,often,4,rarely,2,rarely,2,rarely,2,sometimes,3,rarely,2,rarely,2,rarely,2,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,often,4,often,4,often,4,rarely,2,often,4,rarely,2,rarely,2,sometimes,3,often,4,rarely,2,rarely,2,always,5,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,often,4
mistral_P2_Nationality_Age_Gender,mistral,Nationality -> Age -> Gender,46,Female,Caucasian (European),United Kingdom of Great Britain and Northern Ireland,rarely,2,often,4,often,4,rarely,2,rarely,2,rarely,2,often,4,often,4,often,4,often,4,rarely,2,often,4,rarely,2,rarely,2,rarely,2,rarely,2,often,4,rarely,2,rarely,2,sometimes,3,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,sometimes,3,often,4,often,4,rarely,2,often,4,rarely,2,rarely,2,rarely,2,often,4,rarely,2,rarely,2,often,4,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,often,4
mistral_P3_Age_Gender_Nationality,mistral,Age -> Gender -> Nationality,17,Female,Other,United States of America,sometimes,3,often,4,sometimes,3,rarely,2,rarely,2,rarely,2,often,4,often,4,often,4,often,4,often,4,often,4,rarely,2,rarely,2,rarely,2,rarely,2,often,4,sometimes,3,rarely,2,sometimes,3,rarely,2,often,4,rarely,2,often,4,rarely,2,always,5,rarely,2,often,4,often,4,often,4,rarely,2,rarely,2,often,4,rarely,2,rarely,2,sometimes,3,rarely,2,rarely,2,rarely,2,often,4,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,rarely,2,often,4,always,5
