Profile,Trait,Global_Mean,Subgroup_Mean,Difference,Cohens_D,Sample_Size
Country: Malaysia | Age: 21 | Age_Group: 18-25,Openness,3.91,3.22,-0.69,-1.105,30
Country: Malaysia | Age: 21,Openness,3.91,3.22,-0.69,-1.105,30
Race: Other | Age_Group: 50+ | Gender: Male,Neuroticism,2.9,3.75,0.85,0.983,30
Race: Other | Age_Group: 50+ | Gender: Male,Conscientiousness,3.34,4.01,0.67,0.914,30
Country: United Kingdom of Great Britain and Northern Ireland | Race: Other | Age_Group: <18 | Gender: Female,Neuroticism,2.9,2.14,-0.77,-0.888,47
Country: Poland | Race: Caucasian (European) | Gender: Male,Agreeableness,3.84,3.21,-0.63,-0.88,40
Country: Poland | Gender: Male,Agreeableness,3.84,3.22,-0.62,-0.871,42
Country: United Kingdom of Great Britain and Northern Ireland | Age: 15 | Gender: Female,Neuroticism,2.9,2.16,-0.74,-0.86,65
Country: United Kingdom of Great Britain and Northern Ireland | Age: 15 | Age_Group: <18 | Gender: Female,Neuroticism,2.9,2.16,-0.74,-0.86,65
Age_Group: 18-25 | Gender: Other,Extroversion,3.01,2.24,-0.77,-0.839,42
Country: Australia | Age: 15 | Gender: Female,Conscientiousness,3.34,2.73,-0.61,-0.836,47
Country: Australia | Age: 15 | Age_Group: <18 | Gender: Female,Conscientiousness,3.34,2.73,-0.61,-0.836,47
Country: Malaysia | Age_Group: 18-25 | Gender: Female,Openness,3.91,3.4,-0.51,-0.823,98
Country: Malaysia | Race: South East Asian | Age_Group: 18-25 | Gender: Female,Openness,3.91,3.4,-0.51,-0.821,84
Country: France | Age_Group: 18-25 | Gender: Male,Agreeableness,3.84,3.26,-0.59,-0.82,33
Country: India | Age: 19 | Age_Group: 18-25 | Gender: Female,Neuroticism,2.9,2.2,-0.71,-0.819,39
Country: India | Age: 19 | Gender: Female,Neuroticism,2.9,2.2,-0.71,-0.819,39
Race: Mixed Race | Age_Group: 35-50 | Gender: Male,Neuroticism,2.9,3.61,0.71,0.819,33
Country: United Kingdom of Great Britain and Northern Ireland | Race: Caucasian (European) | Age: 15 | Age_Group: <18 | Gender: Female,Neuroticism,2.9,2.2,-0.7,-0.816,42
Country: United Kingdom of Great Britain and Northern Ireland | Race: Caucasian (European) | Age: 15 | Gender: Female,Neuroticism,2.9,2.2,-0.7,-0.816,42
